format,view,chunk_size,step,ref_step,shift,hit_count,n_chunks,hit_ratio
weights,file,65536,13,12,4096,0,7595,0.0
weights,file,1048576,13,12,1,0,474,0.0
weights,file,1048576,13,12,16,0,474,0.0
weights,file,1048576,13,12,256,0,474,0.0
weights,file,1048576,13,12,4096,0,474,0.0
weights,file,4194304,13,12,1,0,118,0.0
weights,file,4194304,13,12,16,0,118,0.0
weights,file,4194304,13,12,256,0,118,0.0
weights,file,4194304,13,12,4096,0,118,0.0
weights,file,4096,14,13,1,0,121534,0.0
weights,file,4096,14,13,16,0,121534,0.0
weights,file,4096,14,13,256,0,121534,0.0
weights,file,4096,14,13,4096,3,121534,2.5e-05
weights,file,65536,14,13,1,0,7595,0.0
weights,file,65536,14,13,16,0,7595,0.0
weights,file,65536,14,13,256,0,7595,0.0
weights,file,65536,14,13,4096,0,7595,0.0
weights,file,1048576,14,13,1,0,474,0.0
weights,file,1048576,14,13,16,0,474,0.0
weights,file,1048576,14,13,256,0,474,0.0
weights,file,1048576,14,13,4096,0,474,0.0
weights,file,4194304,14,13,1,0,118,0.0
weights,file,4194304,14,13,16,0,118,0.0
weights,file,4194304,14,13,256,0,118,0.0
weights,file,4194304,14,13,4096,0,118,0.0
weights,file,4096,15,14,1,0,121534,0.0
weights,file,4096,15,14,16,0,121534,0.0
weights,file,4096,15,14,256,0,121534,0.0
weights,file,4096,15,14,4096,3,121534,2.5e-05
weights,file,65536,15,14,1,0,7595,0.0
weights,file,65536,15,14,16,0,7595,0.0
weights,file,65536,15,14,256,0,7595,0.0
weights,file,65536,15,14,4096,0,7595,0.0
weights,file,1048576,15,14,1,0,474,0.0
weights,file,1048576,15,14,16,0,474,0.0
weights,file,1048576,15,14,256,0,474,0.0
weights,file,1048576,15,14,4096,0,474,0.0
weights,file,4194304,15,14,1,0,118,0.0
weights,file,4194304,15,14,16,0,118,0.0
weights,file,4194304,15,14,256,0,118,0.0
weights,file,4194304,15,14,4096,0,118,0.0
weights,file,4096,16,15,1,0,121534,0.0
weights,file,4096,16,15,16,0,121534,0.0
